following,followers,actions,is_retweet,location,Type
0.0,11500.0,,0.0,Chicago,Quality
0.0,0.0,,0.0,,Quality
0.0,0.0,,0.0,"Scotland, U.K",Quality
3319.0,611.0,294.0,0.0,"Glasgow, GB",Spam
4840.0,1724.0,1522.0,0.0,"Saint Paul, Minnesota",Spam
4435.0,16041.0,27750.0,0.0,Nationwide UK delivery,Spam
0.0,0.0,0.0,0.0,"Toronto, ON",Quality
0.0,193000.0,,0.0,Mumbai,Quality
39000.0,46900.0,47.0,0.0,UK,Quality
9025.0,20165.0,6331.0,0.0,"Central Luzon, Republic of the",Spam
0.0,0.0,,0.0,"siempre, rct",Quality
0.0,0.0,,0.0,,Quality
780.0,897.0,4792.0,1.0,Middle Of F'ing Nowhere!,Spam
1893.0,1651.0,3564.0,1.0,Between Dimensions,Spam
7981.0,12815.0,13601.0,1.0,"Shaker Heights, OH",Spam
0.0,0.0,0.0,0.0,,Quality
85.0,73.0,434.0,0.0,WorldWide,Spam
0.0,0.0,,0.0,LovelyzRP,Quality
0.0,0.0,259.0,0.0,em,Quality
0.0,0.0,,0.0,"strong power, thank you!",Quality
0.0,0.0,0.0,0.0,"N, City",Quality
856.0,1093.0,6219.0,1.0,Helsinki,Spam
0.0,0.0,0.0,0.0,,Quality
0.0,0.0,0.0,0.0,Birmingham,Quality
0.0,0.0,,0.0,UK,Quality
0.0,0.0,,0.0,"Denver, CO",Quality
0.0,0.0,0.0,0.0,"Swindon, England",Quality
456.0,821.0,5797.0,1.0,20160328,Spam
14242.0,13235.0,28238.0,0.0,"Hluhluwe/Durban, South Africa",Spam
7155.0,16929.0,33170.0,0.0,I(c/r)eland,Spam
0.0,0.0,,0.0,"151206, 180301-03",Quality
2651.0,2703.0,3775.0,1.0,"Paris, FRANCE",Spam
0.0,195000.0,,0.0,"Los Angeles, CA",Quality
0.0,2580000.0,,0.0,,Quality
0.0,0.0,,1.0,Scotland,Quality
0.0,0.0,0.0,0.0,,Quality
0.0,0.0,,0.0,single and ready to mingle,Quality
0.0,0.0,,0.0,KARMY'S  ❤️,Quality
0.0,0.0,0.0,0.0,Dallas,Quality
0.0,0.0,0.0,0.0,brunei,Quality
0.0,0.0,2.0,0.0,Michigan/Wisconsin,Quality
4779.0,1565.0,1173.0,0.0,"Macon Community, Florida.",Spam
0.0,100.0,2028.0,1.0,सम्पूर्ण सृष्टि,Spam
8606.0,12299.0,22201.0,0.0,YNK,Spam
0.0,0.0,4.0,0.0,"Linlithgow, Scotland, UK",Quality
547.0,471.0,4840.0,1.0,"Quezon city,Fairview",Spam
10.0,4.0,1266.0,0.0,"Kothagudem , Telangana",Spam
0.0,1.0,4.0,0.0,Home,Spam
739.0,801.0,5451.0,0.0,"Southeast Washington, DC",Spam
7121.0,16705.0,17951.0,0.0,Alamosa Colorado,Spam
6789.0,59612.0,49649.0,0.0,"Hastings, East Sussex",Spam
5171.0,25363.0,42960.0,0.0,"Chennai, India",Spam
3274.0,13160.0,15861.0,0.0,Prolly In Yo City,Spam
0.0,0.0,,1.0,Not in her comfort zone,Quality
0.0,0.0,,0.0,manila,Quality
7302.0,16504.0,2488.0,0.0,Pink Ocean,Spam
997.0,1057.0,1790.0,1.0,Fully Updated Book!,Spam
0.0,0.0,0.0,0.0,"Dallas, TX",Quality
3135.0,2695.0,2330.0,1.0,NPA,Spam
121.0,70.0,303.0,0.0,M98,Spam
0.0,0.0,0.0,0.0,KUWAIT,Quality
0.0,0.0,45.0,0.0,Gravesend UK,Quality
12600.0,18300.0,,0.0,Ontario,Quality
16200.0,23200.0,1457.0,0.0,Peep @k_sinatra7 or you fake,Quality
0.0,22200.0,20.0,0.0,#MIA,Quality
13700.0,73900.0,316.0,0.0,Chicago,Quality
0.0,0.0,0.0,0.0,"Tauranga City, New Zealand",Quality
4745.0,2287.0,722.0,0.0,"Soufside , Ga",Spam
8228.0,11787.0,4757.0,0.0,치치/#크리돌/ K집™,Spam
550.0,463.0,2539.0,1.0,"Oakland, CA",Spam
0.0,0.0,0.0,0.0,,Quality
13400.0,12871.0,10960.0,0.0,"Florida, USA",Spam
6498.0,7242.0,16920.0,0.0,"Lagos, Nigeria",Spam
45.0,59.0,52.0,1.0,"malaysia, currently in london",Spam
0.0,0.0,13.0,0.0,Chicago/NYC,Quality
0.0,190000.0,441.0,0.0,,Quality
8090.0,16165.0,15149.0,0.0,www.instagram.com/fender,Spam
0.0,1.0,875.0,0.0,Bed,Spam
6634.0,16635.0,17664.0,0.0,Valley of Nostalgic,Spam
0.0,0.0,,0.0,Bolton,Quality
7560.0,16053.0,14449.0,0.0,Free State of Indiana,Spam
15000.0,23200.0,,0.0,Galway / Gaillimh,Quality
0.0,0.0,,0.0,I would die for Bill hxh,Quality
0.0,0.0,0.0,0.0,Africa,Quality
246.0,2539.0,156730.0,0.0,Italia,Spam
0.0,0.0,0.0,0.0,,Quality
0.0,0.0,23.0,0.0,ust ab,Quality
0.0,0.0,,0.0,,Quality
4288.0,4027.0,1421.0,0.0,From Sea to Shining Sea,Spam
0.0,0.0,,1.0,"Los Angeles, CA",Quality
2970.0,2150.0,376.0,0.0,"HQ in Columbus, OH",Spam
74.0,173.0,8976.0,1.0,Pro Wrestling Slam,Spam
0.0,554000.0,,0.0,New Delhi,Quality
0.0,0.0,46.0,0.0,"Hendersonville, NC",Quality
0.0,0.0,0.0,0.0,Italy,Quality
0.0,1.0,69.0,0.0,niam/4,Spam
0.0,0.0,2.0,0.0,Global,Quality
0.0,0.0,0.0,0.0,"Asti, Piedmont",Quality
0.0,745000.0,,0.0,"B'klyn, NYC, LA",Quality
0.0,0.0,,1.0,PA,Quality
